phi_deg,x_boundary,y_boundary,x_query,y_query,sig_tt,sig_nn,sig_nt,sig_tt_eff
178.25,0.120013992274899,0.00091615539629468,0.120275669557064,0.000908160432232052,3.44103830637787,0.0533774587459937,-0.00432195958782407,3.44103830637787
178.5,0.120010280250733,0.000785308449236203,0.120271989926421,0.000778455340194751,3.4422339949369,0.0534865120598391,-0.00355675903097816,3.4422339949369
178.75,0.120007139187603,0.000654446551036823,0.120268876274237,0.000648735427489866,3.44327768199494,0.0536073466965244,-0.00280967566188562,3.44327768199494
179,0.120004569145308,0.000523572193118503,0.120266328659793,0.0005190031637976,3.44416996282699,0.0537393452102378,-0.00208353381220592,3.44416996282699
179.25,0.12000257017278,0.000392687867140339,0.12026434713159,0.000389261019033223,3.44491149117356,0.0538818343596531,-0.00138114578605089,3.44491149117356
179.5,0.120001142308075,0.000261796064951232,0.120262931727356,0.00025951146330015,3.44550297904146,0.0540340853075513,-0.000705310915489766,3.44550297904146
179.75,0.120000285578378,0.000130899278542393,0.120262082474036,0.000129756966842868,3.44594519649031,0.0541953138346031,-5.8814619093884e-05,3.44594519649031
180,0.12,3.67394039744206e-18,0.120261799387799,3.64187921921336e-18,3.44623897140498,0.0543646805671974,0.00055557253629332,3.44623897140498
180.25,0.120000285578378,-0.000130899278542385,0.120262082474036,-0.00012975696684286,3.44638518925385,0.0545412912193878,0.00113509577033204,3.44638518925385
180.5,0.120001142308075,-0.000261796064951211,0.120262931727356,-0.00025951146330013,3.44638479283317,0.0547241968487514,0.00167701702034601,3.44638479283317
180.75,0.12000257017278,-0.000392687867140332,0.12026434713159,-0.000389261019033215,3.44623878199722,0.0549123941262825,0.0021786158686205,3.44623878199722
181,0.120004569145308,-0.000523572193118496,0.120266328659793,-0.000519003163797593,3.44594821337474,0.0551048256200914,0.00263719046569113,3.44594821337474
181.25,0.120007139187603,-0.000654446551036829,0.120268876274237,-0.000648735427489872,3.44551420007128,0.0553003800930058,0.00305005844937605,3.44551420007128
181.5,0.120010280250733,-0.000785308449236195,0.120271989926421,-0.000778455340194744,3.44493791135787,0.0554978928138968,0.00341455785939349,3.44493791135787
181.75,0.120013992274899,-0.000916155396294686,0.120275669557064,-0.000908160432232058,3.44422057234591,0.0556961458827338,0.00372804804734586,3.44422057234591
182,0.120018275189427,-0.00104698490107503,0.120279915096113,-0.00103784823420381,3.44336346364828,0.0558938685692807,0.00398791058188155,3.44336346364828
182.25,0.120023128912778,-0.00117779447277205,0.120284726462737,-0.00116751627704122,3.4423679210269,0.0560897376653656,0.00419155014884122,3.4423679210269
182.5,0.120028553352544,-0.00130858162096009,0.120290103565336,-0.00129716209205167,3.44123533502676,0.0562823778506383,0.00433639544619759,3.44123533502676
182.75,0.120034548405451,-0.00143934385564032,0.120296046301537,-0.00142678321096568,3.43996715059638,0.056470362071782,0.00441990007358506,3.43996715059638
183,0.120041113957363,-0.00157007868728831,0.1203025545582,-0.00155637716598402,3.43856486669497,0.0566522119350571,0.00443954341624044,3.43856486669497
183.25,0.12004824988328,-0.00170078362690131,0.120309628211415,-0.00168594148982459,3.43703003588618,0.0568263981121171,0.00439283152316224,3.43703003588618
183.5,0.120055956047344,-0.00183145618604571,0.120317267126512,-0.00181547371576945,3.43536426391864,0.0569913407590313,0.00427729797928589,3.43536426391864
183.75,0.120064232302842,-0.00196209387690429,0.120325471158056,-0.00194497137771169,3.43356920929339,0.0571454099483962,0.00409050477150764,3.43356920929339
184,0.120073078492205,-0.00209269421232374,0.120334240149854,-0.00207443201020251,3.43164658281817,0.0572869261144673,0.00383004314835562,3.43164658281817
184.25,0.120082494447015,-0.00222325470586198,0.120343573934957,-0.00220385314849811,3.42959814714876,0.0574141605112336,0.00349353447312276,3.42959814714876
184.5,0.120092479988006,-0.00235377287183534,0.120353472335664,-0.00233323232860652,3.42742571631745,0.0575253356833137,0.00307863107028479,3.42742571631745
184.75,0.120103034925067,-0.00248424622536613,0.120363935163523,-0.00246256708733469,3.42513115524868,0.0576186259495972,0.00258301706501519,3.42513115524868
185,0.120114159057248,-0.00261467228242974,0.120374962219337,-0.00259185496233522,3.42271637926204,0.05769215789953,0.0020044092156168,3.42271637926204
185.25,0.12012585217276,-0.00274504855990207,0.120386553293167,-0.00272109349215336,3.42018335356257,0.0577440109019635,0.00134055773867444,3.42018335356257
185.5,0.120138114048985,-0.00287537257560672,0.120398708164335,-0.00285028021627378,3.41753409271874,0.0577722176264009,0.000589247126791542,3.41753409271874
185.75,0.120150944452473,-0.00300564184836228,0.12041142660143,-0.00297941267516746,3.41477066012784,0.0577747645766316,-0.000251703041327082,3.41477066012784
186,0.120164343138952,-0.00313585389802959,0.120424708362312,-0.00310848841033853,3.41189516746926,0.0577495926365527,-0.00118443729856419,3.41189516746926
186.25,0.12017830985333,-0.00326600624555894,0.120438553194115,-0.00323750496437109,3.40890977414548,0.0576945976281525,-0.00221106349508082,3.40890977414548
186.5,0.120192844329702,-0.0033960964130372,0.120452960833253,-0.00336645988097586,3.40581668671109,0.0576076308814566,-0.00333365201212178,3.40581668671109
186.75,0.120207946291352,-0.00352612192373512,0.120467931005426,-0.00349535070503715,3.4026181582898,0.0574864998164072,-0.00455423498417042,3.4026181582898
